,StudentID,Timestamp,state,prop,leaning,topUrl,isRelevant,isAd,non_us_loc,issues
20,20,2020-10-31 09:36:55,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_%282020%29",TRUE,FALSE,,The prop22 auto-fill link was different from the first link on the page; I wonder how they choose which website will auto-fill as you're searching. (Maybe I had looked this up in the past I'm not sure)
21,21,2020-10-31 21:10:14,CA,24,,https://keepcalsafe.org/,FALSE,TRUE,,
21,21,2020-10-31 21:10:14,CA,22,1,https://yeson22.com/?gclid=Cj0KCQjwlvT8BRDeARIsAACRFiX43QF8710b_zyv9mBCCtY9t1DS9F-ZGcy7abDAOQuvbId01Z3pJRQaAtZ3EALw_wcB,TRUE,TRUE,,
22,22,2020-10-31 23:46:35,CA,22,1,https://yeson22.com/?gclid=Cj0KCQjwlvT8BRDeARIsAACRFiUeGt_2PeOrn1aLdYtnu0lXD7g6hs17oEau3yjJxxoW2FOA6pTmDswaAmEVEALw_wcB,TRUE,TRUE,,I didn't have any issues with data collection
22,22,2020-10-31 23:46:35,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,I didn't have any issues with data collection
23,23,2020-11-01 11:07:36,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,I was pretty much garunteed not to get ads since I use an adblocker. Not really a complication but a factor that will affect results. 
23,23,2020-11-01 11:07:36,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,I was pretty much garunteed not to get ads since I use an adblocker. Not really a complication but a factor that will affect results. 
24,24,2020-11-01 12:27:00,CA,22,1,,TRUE,TRUE,,
24,24,2020-11-01 12:27:00,CA,24,0,https://calmatters.org/election-2020-guide/proposition-24-data-privacy/,TRUE,FALSE,,
25,25,2020-11-01 13:48:32,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
25,25,2020-11-01 13:48:32,CA,22,1,,TRUE,TRUE,,
26,26,2020-11-01 14:51:51,CA,22,1,https://yeson22.com/?gclid=Cj0KCQjwufn8BRCwARIsAKzP694YfszLI5ylNXtsxfmaUn_IU-eYDHTgsycKaoZczgOeYTkpT5jnx4UaAoXZEALw_wcB,TRUE,TRUE,,
26,26,2020-11-01 14:51:51,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
27,27,2020-11-01 15:50:27,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,
